Year,Population,Chronic Disease Patient Count,Mortality Rate Count,Recovery / Management Count,Pollution Level,Health Index,Education Index,Average Income Level,Average BMI,Healthcare Access Rate,"Average Smokers (per 100,000)","Average Alcohol Consumers (per 100,000)"
1901,3000000,30000,150,600,20.0,100.0,34.0,2000,22.0,50.0,5000,3000
1902,3044999,30449,152,608,20.1,99.73,34.005,2060,22.02,50.2,4980,3010
1903,3090674,30906,154,618,20.2,99.46,34.01,2121,22.04,50.4,4960,3020
1904,3137035,31370,156,627,20.3,99.19,34.015,2185,22.06,50.6,4940,3030
1905,3184090,31840,159,636,20.4,98.92,34.02,2251,22.08,50.8,4920,3040
1906,3231852,32318,161,646,20.5,98.65,34.025,2318,22.1,51.0,4900,3050
1907,3280329,32803,164,656,20.6,98.38,34.03,2388,22.12,51.2,4880,3060
1908,3329534,33295,166,665,20.7,98.11,34.035,2459,22.14,51.4,4860,3070
1909,3379477,33794,168,675,20.8,97.84,34.04,2533,22.16,51.6,4840,3080
1910,3430169,34301,171,686,20.9,97.57,34.045,2609,22.18,51.8,4820,3090
1911,3481622,34816,174,696,21.0,97.3,34.05,2687,22.2,52.0,4800,3100
1912,3533846,35338,176,706,21.1,97.03,34.055,2768,22.22,52.2,4780,3110
1913,3586854,35868,179,717,21.2,96.76,34.06,2851,22.24,52.4,4760,3120
1914,3640657,36406,182,728,21.3,96.49,34.065,2937,22.26,52.6,4740,3130
1915,3695267,36952,184,739,21.4,96.22,34.07,3025,22.28,52.8,4720,3140
1916,3750696,37506,187,750,21.5,95.95,34.075,3115,22.3,53.0,4700,3150
1917,3806956,38069,190,761,21.6,95.68,34.08,3209,22.32,53.2,4680,3160
1918,3864060,38640,193,772,21.7,95.41,34.085,3305,22.34,53.4,4660,3170
1919,3922021,39220,196,784,21.8,95.14,34.09,3404,22.36,53.6,4640,3180
1920,3980852,39808,199,796,21.9,94.87,34.095,3507,22.38,53.8,4620,3190
1921,4040565,40405,202,808,22.0,94.6,34.1,3612,22.4,54.0,4600,3200
1922,4101173,41011,205,820,22.1,94.33,34.105,3720,22.42,54.2,4580,3210
1923,4162691,41626,208,832,22.2,94.06,34.11,3832,22.44,54.4,4560,3220
1924,4225131,42251,211,845,22.3,93.78999999999999,34.115,3947,22.46,54.6,4540,3230
1925,4288508,42885,214,857,22.4,93.52,34.12,4065,22.48,54.8,4520,3240
1926,4352836,43528,217,870,22.5,93.25,34.125,4187,22.5,55.0,4500,3250
1927,4418128,44181,220,883,22.6,92.98,34.13,4313,22.52,55.2,4480,3260
1928,4484400,44844,224,896,22.7,92.71,34.135,4442,22.54,55.4,4460,3270
1929,4551666,45516,227,910,22.8,92.44,34.14,4575,22.56,55.6,4440,3280
1930,4619941,46199,230,923,22.9,92.17,34.145,4713,22.58,55.8,4420,3290
1931,4689240,46892,234,937,23.0,91.9,34.15,4854,22.6,56.0,4400,3300
1932,4759579,47595,237,951,23.1,91.63,34.155,5000,22.62,56.2,4380,3310
1933,4830972,48309,241,966,23.2,91.36,34.16,5150,22.64,56.4,4360,3320
1934,4903437,49034,245,980,23.3,91.09,34.165,5304,22.66,56.6,4340,3330
1935,4976989,49769,248,995,23.4,90.82,34.17,5463,22.68,56.8,4320,3340
1936,5051643,50516,252,1010,23.5,90.55,34.175,5627,22.7,57.0,4300,3350
1937,5127418,51274,256,1025,23.6,90.28,34.18,5796,22.72,57.2,4280,3360
1938,5204329,52043,260,1040,23.7,90.01,34.185,5970,22.74,57.4,4260,3370
1939,5282394,52823,264,1056,23.8,89.74,34.19,6149,22.76,57.6,4240,3380
1940,5361630,53616,268,1072,23.9,89.47,34.195,6334,22.78,57.8,4220,3390
1941,5442055,54420,272,1088,24.0,89.2,34.2,6524,22.8,58.0,4200,3400
1942,5523686,55236,276,1104,24.1,88.93,34.205,6719,22.82,58.2,4180,3410
1943,5606541,56065,280,1121,24.2,88.66,34.21,6921,22.84,58.4,4160,3420
1944,5690639,56906,284,1138,24.3,88.39,34.215,7129,22.86,58.6,4140,3430
1945,5775999,57759,288,1155,24.4,88.12,34.22,7342,22.88,58.8,4120,3440
1946,5862639,58626,293,1172,24.5,87.85,34.225,7563,22.9,59.0,4100,3450
